Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
-2.911377e-001	-2.783203e-001	-2.993774e-001	-2.893066e-001	-3.173828e-001	-3.149414e-001	-3.466797e-001	-2.032471e-001	-1.309204e-001	-9.887695e-002	-1.165771e-001	-1.043701e-001	-1.177979e-001	-8.148193e-002	0.000000e+000	1.156616e-001	
-2.868652e-001	-2.731323e-001	-2.944946e-001	-2.847290e-001	-3.131104e-001	-3.094482e-001	-3.411865e-001	-1.965332e-001	-1.272583e-001	-9.460449e-002	-1.126099e-001	-1.016235e-001	-1.181030e-001	-8.728027e-002	0.000000e+000	1.156616e-001	
-2.825928e-001	-2.685547e-001	-2.893066e-001	-2.798462e-001	-3.082275e-001	-3.042603e-001	-3.353882e-001	-1.898193e-001	-1.242065e-001	-9.094238e-002	-1.083374e-001	-9.796143e-002	-1.168823e-001	-9.063721e-002	0.000000e+000	1.153564e-001	
-2.789307e-001	-2.639771e-001	-2.844238e-001	-2.752686e-001	-3.033447e-001	-2.993774e-001	-3.302002e-001	-1.834106e-001	-1.205444e-001	-8.728027e-002	-1.046753e-001	-9.460449e-002	-1.150513e-001	-9.277344e-002	0.000000e+000	1.150513e-001	
-2.752686e-001	-2.593994e-001	-2.798462e-001	-2.706909e-001	-2.987671e-001	-2.938843e-001	-3.244019e-001	-1.776123e-001	-1.174927e-001	-8.361816e-002	-1.007080e-001	-9.094238e-002	-1.132202e-001	-9.338379e-002	0.000000e+000	1.153564e-001	
-2.719116e-001	-2.554321e-001	-2.755737e-001	-2.658081e-001	-2.938843e-001	-2.890015e-001	-3.192139e-001	-1.715088e-001	-1.150513e-001	-8.087158e-002	-9.704590e-002	-8.728027e-002	-1.101685e-001	-9.277344e-002	3.051758e-004	1.150513e-001	
-2.685547e-001	-2.514648e-001	-2.709961e-001	-2.609253e-001	-2.896118e-001	-2.835083e-001	-3.137207e-001	-1.657104e-001	-1.119995e-001	-7.751465e-002	-9.338379e-002	-8.361816e-002	-1.071167e-001	-9.185791e-002	0.000000e+000	1.150513e-001	
-2.651978e-001	-2.474976e-001	-2.670288e-001	-2.569580e-001	-2.844238e-001	-2.786255e-001	-3.082275e-001	-1.605225e-001	-1.089478e-001	-7.476807e-002	-9.033203e-002	-8.026123e-002	-1.037598e-001	-9.002686e-002	3.051758e-004	1.147461e-001	
-2.624512e-001	-2.441406e-001	-2.630615e-001	-2.523804e-001	-2.795410e-001	-2.734375e-001	-3.033447e-001	-1.547241e-001	-1.065063e-001	-7.202148e-002	-8.697510e-002	-7.690430e-002	-1.010132e-001	-8.819580e-002	0.000000e+000	1.147461e-001	
-2.590942e-001	-2.401733e-001	-2.587891e-001	-2.481079e-001	-2.752686e-001	-2.685547e-001	-2.981567e-001	-1.492310e-001	-1.040649e-001	-6.958008e-002	-8.422852e-002	-7.354736e-002	-9.765625e-002	-8.544922e-002	0.000000e+000	1.147461e-001	
